## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=hist.pdf INPUT=/Users/vladsaveliev/vagrant/reporting_suite/test/targqc_on_bams_test/Patient-E7801004-normal-ready.bam OUTPUT=f.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jan 18 02:35:50 MSK 2015

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
160	33	2	36821114	171.399422	56.402328	1183204	FR	13	27	39	53	67	81	99	123	177	429			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	3
3	2
4	4
5	4
6	6
7	5
8	6
9	5
10	6
11	6
12	4
13	7
14	7
15	4
16	7
17	6
18	8
19	75
20	48
21	26
22	19
23	15
24	25
25	22
26	20
27	32
28	34
29	36
30	22
31	31
32	34
33	19
34	28
35	20
36	28
37	29
38	30
39	36
40	32
41	21
42	36
43	33
44	38
45	29
46	31
47	33
48	44
49	49
50	37
51	42
52	43
53	36
54	56
55	48
56	43
57	71
58	53
59	80
60	63
61	70
62	67
63	73
64	84
65	83
66	91
67	93
68	126
69	155
70	160
71	183
72	176
73	218
74	262
75	293
76	309
77	355
78	419
79	469
80	536
81	606
82	638
83	788
84	860
85	909
86	1143
87	1236
88	1347
89	1462
90	1710
91	1864
92	2133
93	2247
94	2465
95	2745
96	2945
97	3099
98	3338
99	3686
100	4000
101	4308
102	4676
103	4930
104	5150
105	5483
106	5815
107	6059
108	6370
109	6728
110	6949
111	7231
112	7511
113	7988
114	8053
115	8289
116	8455
117	8742
118	8779
119	9137
120	9331
121	9401
122	9726
123	9958
124	9862
125	10139
126	10173
127	10268
128	10455
129	10401
130	10639
131	10711
132	10702
133	10701
134	10797
135	10715
136	10817
137	10747
138	10857
139	10728
140	10646
141	10613
142	10683
143	10625
144	10815
145	10639
146	10469
147	10421
148	10203
149	10100
150	10279
151	10349
152	10025
153	10056
154	9989
155	9932
156	9896
157	9832
158	9700
159	9453
160	9294
161	9247
162	9063
163	9292
164	8958
165	8920
166	9000
167	8714
168	8684
169	8459
170	8496
171	8268
172	8189
173	8176
174	8074
175	7903
176	7835
177	7956
178	7590
179	7532
180	7299
181	7286
182	7364
183	6943
184	6945
185	6881
186	6931
187	6709
188	6592
189	6543
190	6374
191	6322
192	6155
193	6089
194	5961
195	5975
196	5762
197	5769
198	5706
199	5581
200	5483
201	5352
202	5366
203	5252
204	5194
205	5037
206	4956
207	5001
208	4747
209	4622
210	4648
211	4595
212	4487
213	4439
214	4416
215	4300
216	4247
217	4100
218	4065
219	3950
220	3913
221	3813
222	3754
223	3711
224	3715
225	3601
226	3512
227	3415
228	3427
229	3199
230	3268
231	3193
232	3075
233	3144
234	3010
235	3029
236	2900
237	2845
238	2711
239	2727
240	2754
241	2722
242	2601
243	2517
244	2506
245	2368
246	2361
247	2339
248	2394
249	2317
250	2191
251	2159
252	2220
253	2009
254	2139
255	1970
256	1913
257	1929
258	1932
259	1807
260	1783
261	1749
262	1752
263	1681
264	1660
265	1600
266	1628
267	1502
268	1515
269	1543
270	1525
271	1453
272	1466
273	1356
274	1375
275	1324
276	1356
277	1269
278	1273
279	1304
280	1244
281	1153
282	1157
283	1121
284	1128
285	1051
286	1110
287	1046
288	1050
289	1037
290	970
291	964
292	916
293	890
294	885
295	912
296	846
297	840
298	803
299	739
300	764
301	743
302	679
303	742
304	771
305	675
306	736
307	638
308	688
309	663
310	664
311	608
312	589
313	622
314	605
315	543
316	565
317	557
318	534
319	521
320	486
321	560
322	491
323	466
324	441
325	417
326	433
327	433
328	457
329	425
330	404
331	380
332	407
333	384
334	412
335	385
336	338
337	337
338	374
339	340
340	316
341	328
342	320
343	327
344	322
345	291
346	295
347	273
348	307
349	272
350	266
351	274
352	260
353	240
354	259
355	267
356	239
357	244
358	222
359	223
360	185
361	213
362	213
363	189
364	204
365	194
366	217
367	166
368	194
369	196
370	158
371	176
372	186
373	182
374	159
375	163
376	168
377	151
378	150
379	153
380	160
381	159
382	138
383	132
384	125
385	132
386	136
387	145
388	136
389	134
390	130
391	144
392	127
393	124
394	128
395	98
396	124
397	112
398	103
399	94
400	102
401	89
402	85
403	95
404	84
405	94
406	110
407	104
408	88
409	90
410	81
411	99
412	85
413	63
414	72
415	91
416	73
417	68
418	80
419	73
420	68
421	89
422	69
423	75
424	69
425	80
426	75
427	69
428	63
429	61
430	73
431	68
432	64
433	48
434	47
435	61
436	62
437	57
438	64
439	58
440	55
441	50
442	64
443	50
444	46
445	51
446	67
447	54
448	44
449	33
450	48
451	54
452	46
453	46
454	55
455	47
456	40
457	54
458	42
459	46
460	36
461	53
462	37
463	42
464	43
465	35
466	41
467	33
468	34
469	37
470	44
471	34
472	31
473	30
474	44
475	46
476	37
477	41
478	36
479	23
480	53
481	33
482	31
483	29
484	29
485	36
486	32
487	40
488	30
489	25
490	34

