##Target=/gpfs/ngs/reference_data/genomes/Hsapiens/hg19/bed/personalis/Personalis.bed
##Regions in target=276960
##Bases in target=98105582
##Genes in target=22685
Sample	DNA_10-ready	DNA_1-ready	DNA_2-ready	DNA_3-ready	DNA_4-ready	DNA_5-ready	DNA_6-ready	DNA_7-ready	DNA_8-ready	DNA_9-ready
Reads	101597079	221798575	285770199	116182386	252827802	103806959	275541956	274186948	270827105	298408812
Mapped	101292542	221275601	284969349	115867640	252171322	103513931	274793033	273322765	270186599	297597203
%	0.997002502405	0.997642121912	0.997197573425	0.997290931863	0.997403450116	0.997177183468	0.997282000132	0.996848197895	0.997635000382	0.997280211015
Unmapped	304537	522974	800850	314746	656480	293028	748923	864183	640506	811609
%	0.00299749759538	0.00235787808826	0.00280242657493	0.00270906813706	0.00259654988418	0.00282281653198	0.00271799986787	0.00315180210547	0.00236499961848	0.00271978898532
Dup rate	0.028332	0.167607	0.102765	0.049356	0.069264	0.028572	0.090746	0.073551	0.070081	0.086504
Paired	101292542	221275601	284969349	115867640	252171322	103513931	274793033	273322765	270186599	297597203
Read min len	30	30	30	30	30	30	30	30	30	30
Read max len	100	100	100	100	100	100	100	100	100	100
Read mean len	99.95	99.85	99.74	99.87	99.95	99.96	99.94	99.95	99.95	99.9
Covered in trg	97448154	97300834	97692461	97385539	97694574	97551081	97668007	97839515	97857996	97677492
%	0.993298770706	0.991797123226	0.995789016368	0.992660529755	0.995810554388	0.994347915901	0.995539754303	0.997287952484	0.997476331163	0.995636435855
Reads on trg	57553165	132387971	161623619	68300133	146924650	59602598	161572530	159908187	157800734	176945545
%	0.568187586802	0.598294481641	0.567161414261	0.589466852005	0.582638219266	0.575793010894	0.587978989991	0.585052573283	0.584043526156	0.594580672185
On padded trg	57553165	132387971	161623619	68300133	146924650	59602598	161572530	159908187	157800734	176945545
%	0.568187586802	0.598294481641	0.567161414261	0.589466852005	0.582638219266	0.575793010894	0.587978989991	0.585052573283	0.584043526156	0.594580672185
Read bp on trg	4997011906	11556181898	14122067667	5978406385	12724210647	5168135653	14048176413	13860758020	13673683080	15472448712
Avg	50.9350416575	117.793316776	143.947646802	60.9384936425	129.699150523	52.6793231093	143.194465866	141.28409146	139.377217904	157.712215733
Std dev	40.619601889	120.528468917	160.91440324	58.3580462935	129.506717573	49.1420222609	143.392918135	122.138984158	117.919969136	298.509182362
Max	5289	22580	34775	10062	22783	8327	23570	18122	15985	94200
&#177;20% avg	0.244609292466	0.209210205796	0.212095964122	0.228697272292	0.229696797477	0.236221400735	0.218871562273	0.242893386026	0.247648752545	0.195319579267
1x	0.993298770706	0.991797123226	0.995789016368	0.992660529755	0.995810554388	0.994347915901	0.995539754303	0.997287952484	0.997476331163	0.995636435855
5x	0.972145978401	0.976155271165	0.98759911541	0.973115678576	0.988010315254	0.973244070862	0.986927563408	0.989820670958	0.990424000543	0.987159976279
10x	0.938541081179	0.959513476002	0.977931551336	0.944377609421	0.977259408134	0.940499807646	0.976375839654	0.980091357085	0.980639022151	0.976758906542
25x	0.771061711861	0.902605154516	0.942551597115	0.810832445803	0.936091220579	0.780477669456	0.938720989393	0.946043681796	0.946321188941	0.938392710417
50x	0.404388855264	0.771742906535	0.847672194636	0.498334753266	0.830595113334	0.426333997998	0.845595238403	0.865138356755	0.863726816278	0.841017619161
100x	0.0921054930391	0.464631125678	0.573190758911	0.152290060315	0.536161326682	0.0996903621651	0.578335481461	0.604189341642	0.598526880968	0.583191076732
500x	0.000265815659704	0.00935678665053	0.0164640376936	0.000471430871283	0.00953675602271	0.000253237374403	0.0158636131428	0.0106163989731	0.00975810938057	0.02969261219
1000x	4.62359012355e-05	0.000417203579711	0.00101174671182	0.000113530746905	0.000553464939436	6.60716736791e-05	0.000942280735871	0.000550621064559	0.000507208652001	0.00350398002837
5000x	2.44634398071e-07	2.71646112858e-05	5.51140912655e-05	1.42703398875e-05	3.41264985309e-05	1.42397605877e-05	3.84076004972e-05	3.0691423858e-05	2.80921833785e-05	5.72852215484e-05
10000x	0	1.56566014766e-05	2.45551777064e-05	9.17378992767e-08	2.04881308385e-05	0	2.1048751334e-05	1.59522013742e-05	1.50552085813e-05	3.58389393174e-05
50000x	0	0	0	0	0	0	0	0	0	9.98923792124e-06
Mean MQ	46.85	46.79	46.76	46.75	46.8	46.84	46.79	46.84	46.86	46.81
Mismatches	14206577	36452692	43919295	17946574	36353528	14358833	42060340	40959947	38774369	45978758
Insertions	269422	669469	741237	316314	672188	269428	762681	742645	720703	829427
Deletions	358431	974889	1015641	425365	914133	365447	1046173	1006559	983569	1107995
Homopolymer indels	70.06	71.82	69.39	70.13	70.36	70.21	70.84	70.35	70.02	69.86
