##Target=/gpfs/ngs/reference_data/genomes/Hsapiens/hg19/bed/Exons/az_key_genes_CDS.bed
##Regions in target=3280
##Bases in target=609343
##Genes in target=210
Sample	Acrometrix-ready	Colo829-ready	E2813008-38-ready	E7801006-2-ready	E7806007-30-ready	E7814002-16-ready	H1975-ready	Horizon-ready	NA12878-ready	Promega-ready
Reads	40426748	60790196	72963350	67366262	52904926	55702577	66649361	42991046	68253058	40016517
Mapped	39654906	59501472	71593738	66220065	51656019	54372667	65599764	42075382	66723813	39315247
%	0.980907640654	0.978800463154	0.981228767594	0.982985592996	0.976393370251	0.976124802987	0.984251957044	0.978701053238	0.977594483752	0.98247548631
Unmapped	771842	1288724	1369612	1146197	1248907	1329910	1049597	915664	1529245	701270
%	0.0190923593458	0.0211995368464	0.0187712324064	0.0170144070039	0.0236066297494	0.0238751970129	0.0157480429557	0.0212989467621	0.0224055162481	0.0175245136902
Paired %	0.969642821629	0.968448859747	0.970330131498	0.970175263695	0.963279525237	0.964320788965	0.97368792478	0.96813057305	0.967194158539	0.9708428897
Dup rate	0.121408407827	0.123908783299	0.143396996536	0.13570090878	0.114465595965	0.127071806134	0.1179212474	0.131195671616	0.133715709562	0.127450375677
Dedupped	34840467	52128717	61327411	57233942	45743182	47463434	57864158	36555274	57801791	34304504
Min len	30	30	30	30	30	30	30	30	30	30
Max len	100	100	100	100	100	100	100	100	100	100
Ave len	99.95	99.96	99.91	99.89	99.89	99.9	99.96	99.97	99.96	99.94
Trg covered	597867	601470	597467	597428	597750	598431	601034	596659	601286	601199
%	0.981166600749	0.987079526638	0.980510156021	0.98044615266	0.980974590666	0.982092187815	0.986364001884	0.97918413767	0.986777562063	0.986634785334
Reads on trg	360990	537207	639703	609290	463285	486450	588004	380927	609202	371108
%	0.0103612273624	0.0103053946254	0.0104309474274	0.0106456060636	0.0101279574298	0.0102489423753	0.0101617999868	0.0104205757013	0.010539500411	0.0108180546788
% off trg	0.989638772638	0.989694605375	0.989569052573	0.989354393936	0.98987204257	0.989751057625	0.989838200013	0.989579424299	0.989460499589	0.989181945321
On padded trg	415923	620134	757120	713333	529173	564712	674155	444951	711991	429743
%	0.0104885635084	0.010422162329	0.0105752265652	0.0107721579554	0.0102441692226	0.0103859536631	0.0102767900202	0.0105750911543	0.0106707181138	0.0109306956662
Read bp on trg	27409710	40669375	48721700	46024860	35158880	36871552	44019600	28954554	46102988	28169774
Avg	44.9823990757	66.7429920422	79.9577577817	75.5319417799	57.6996535613	60.510339825	72.2410858909	47.517662466	75.6601585642	46.2297490904
Std dev	39.853644955	55.717810566	76.7764083041	70.2949258071	40.8839564613	50.2221058599	53.9846115866	49.0497017985	63.5400630267	40.227636954
Max	1247	1691	2371	2255	1088	1193	1221	1753	2146	1449
&#177;20% avg	0.23393720778	0.257026009981	0.238527397541	0.261645739756	0.275823304773	0.223036943068	0.259451573252	0.259420392127	0.280461086777	0.286582433867
1x	0.981166600749	0.987079526638	0.980510156021	0.98044615266	0.980974590666	0.982092187815	0.986364001884	0.97918413767	0.986777562063	0.986634785334
5x	0.975501482745	0.984161629821	0.977974638258	0.977477381376	0.97737235022	0.977275524622	0.984059880888	0.976102129671	0.984383179917	0.982705963636
10x	0.957208009282	0.979474614462	0.973573176356	0.974989455857	0.969780566938	0.96879918207	0.980165522538	0.966086424231	0.981460359765	0.968598966428
25x	0.742061531847	0.903391029355	0.911059944891	0.927759898776	0.867726387273	0.837574239796	0.920166474383	0.786716184481	0.942923771997	0.792952409398
50x	0.343486345129	0.581718342543	0.657778952084	0.659292057183	0.533471296134	0.497814859611	0.635875032617	0.367010041963	0.696725817807	0.362990959115
100x	0.0430988786283	0.163018201571	0.255785329445	0.211577059226	0.0934022381483	0.146849967916	0.208618134614	0.0446513704104	0.223896885662	0.0326811007922
500x	0.000897688165779	0.000897688165779	0.0029228201522	0.00243705105335	0.000845172587525	0.00133586502183	0.00161977736677	0.000968255974057	0.00211539313654	0.000855019258447
1000x	0.000324940140446	0.000623622491766	0.00079101589745	0.000731935871915	0.000152623399301	0.000185445635709	0.000321657916805	0.000646598057252	0.000784451450168	0.000431612408775
5000x	0	0	0	0	0	0	0	0	0	0
10000x	0	0	0	0	0	0	0	0	0	0
50000x	0	0	0	0	0	0	0	0	0	0
Mean MQ	17.83	17.71	17.84	17.81	17.82	17.82	17.82	17.84	17.81	17.82
Mismatches	263965	383731	478583	454941	339929	367688	432428	286533	452415	280270
Insertions	1139	1493	1880	1829	1293	1566	1515	983	1883	973
Deletions	1654	2275	3199	2908	2233	2522	2622	3726	2809	1794
Homopolymer indels	64.45	74.89	66.06	67.72	64.44	65.14	70.49	81.76	69.37	69.79
