##Sample=contains best values from all samples: Colo829BL-ready, Colo829-ready, Horizon-ready
#Chr	Start	End	Size	Gene	Strand	Feature	Biotype	Min depth	Ave depth	Std dev	W/n 20% of ave depth	1x	5x	10x	25x	50x	100x	500x	1000x	5000x	10000x	50000x
chr1	6241328	6269449	409	RPL22	.	Whole-Gene	protein_coding	7787	13735.9584352	2533.41832154	0.00733496332518	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00889975550122	0
chr1	8064463	8086368	1464	ERRFI1	.	Whole-Gene	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11166591	11322564	7650	MTOR	.	Whole-Gene	protein_coding	7262	15803.8575163	3040.73062119	0.0072339869281	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00962745098039	0
chr1	27022523	27108595	6858	ARID1A	+	Whole-Gene	protein_coding	5892	19148.0803441	5283.58915776	0.00614756488772	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00970545348498	0
chr1	40361097	40367928	1301	MYCL	.	Whole-Gene	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	51426416	51440305	507	CDKN2C	+	Whole-Gene	protein_coding	13750	15354.6193294	1220.66191725	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr1	57110994	57181008	1659	PRKAA2	+	Whole-Gene	protein_coding	0	0.0626883664858	0.266504642704	0	0.000626883664858	0	0	0	0	0	0	0	0	0	0
chr1	93297581	93307481	894	RPL5	+	Whole-Gene	protein_coding	4391	13996.9697987	5161.79463248	0.00352348993289	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00987695749441	0.00690156599553	0
chr1	115247089	115259515	570	NRAS	.	Whole-Gene	protein_coding	8852	16805.8385965	2836.05942121	0.00889473684211	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00961403508772	0
chr1	150547031	150552066	1064	MCL1	.	Whole-Gene	protein_coding	0	0.723684210526	2.57276860722	0	0.000742481203008	0.000742481203008	0.000704887218045	0	0	0	0	0	0	0	0
chr1	155867598	155881195	711	RIT1	.	Whole-Gene	protein_coding	1	0.028129395218	0.16534246987	0	0.00028129395218	0	0	0	0	0	0	0	0	0	0
chr1	161141099	161147287	1182	B4GALT3	.	Whole-Gene	protein_coding	9748	19025.1717428	3046.91766084	0.00865482233503	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00995769881557	0
chr1	201977072	201986316	1116	ELF3	+	Whole-Gene	protein_coding	8009	15162.3261649	3173.4476378	0.00719534050179	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00974014336918	0
chr1	204485510	204542871	1625	MDM4	+	Whole-Gene	protein_coding	0	0.0775384615385	0.476028540739	0	0.000258461538462	0	0	0	0	0	0	0	0	0	0
chr1	243651534	244014381	1484	AKT3	.	Whole-Gene	protein_coding	0	0.00606469002695	0.0776396133545	0	6.06469002695e-05	0	0	0	0	0	0	0	0	0	0
chr10	8095566	8117161	1335	GATA3	+	Whole-Gene	protein_coding	6284	20233.6614232	3353.64709948	0.00864419475655	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00976029962547	0
chr10	30722865	30750762	1467	MAP3K8	+	Whole-Gene	protein_coding	0	0.324471710975	2.32609913704	0	0.000538513974097	0.000190865712338	0.000190865712338	0	0	0	0	0	0	0	0
