##Sample=contains best values from all samples: Acrometrix-ready, Colo829-ready, E2813008-38-ready, E7801006-2-ready, E7806007-30-ready, E7814002-16-ready, H1975-ready, Horizon-ready, NA12878-ready, Promega-ready
#Chr	Start	End	Size	Gene	Strand	Feature	Biotype	Min depth	Ave depth	Std dev	W/n 20% of ave depth	1x	5x	10x	25x	50x	100x	500x	1000x	5000x	10000x	50000x
chr1	6241328	6269449	409	RPL22	.	Whole-Gene	protein_coding	21	43.0880195599	22.6823723144	0.515892420538	0.953545232274	0.953545232274	0.953545232274	0.938875305623	0.413202933985	0.0146699266504	0	0	0	0	0
chr1	8064463	8086368	1464	ERRFI1	.	Whole-Gene	protein_coding	53	110.361338798	34.0567656528	0.707650273224	0.974726775956	0.974726775956	0.974726775956	0.974726775956	0.974726775956	0.640027322404	0	0	0	0	0
chr1	11166591	11322564	7650	MTOR	.	Whole-Gene	protein_coding	19	79.462875817	28.0494986306	0.531895424837	1.0	1.0	1.0	0.997516339869	0.842483660131	0.186013071895	0	0	0	0	0
chr1	27022523	27108595	6858	ARID1A	+	Whole-Gene	protein_coding	19	99.0364537766	56.7589142705	0.47171186935	1.0	1.0	1.0	0.999270924468	0.951151939341	0.449402158064	0	0	0	0	0
chr1	40361097	40367928	1301	MYCL	.	Whole-Gene	protein_coding	10	103.973097617	39.2888948995	0.772482705611	1.0	1.0	1.0	0.937740199846	0.937740199846	0.54573405073	0	0	0	0	0
chr1	51426416	51440305	507	CDKN2C	+	Whole-Gene	protein_coding	62	95.8934911243	22.5484401028	0.889546351085	1.0	1.0	1.0	1.0	1.0	0.489151873767	0	0	0	0	0
chr1	57110994	57181008	1659	PRKAA2	+	Whole-Gene	protein_coding	14	42.0711271851	16.3332413834	0.482820976492	1.0	1.0	1.0	0.867992766727	0.33936106088	0	0	0	0	0	0
chr1	93297581	93307481	894	RPL5	+	Whole-Gene	protein_coding	30	69.4720357942	21.0208265958	0.712527964206	1.0	1.0	1.0	1.0	0.815436241611	0.0145413870246	0	0	0	0	0
chr1	115247089	115259515	570	NRAS	.	Whole-Gene	protein_coding	24	39.4315789474	8.95723999641	0.785964912281	1.0	1.0	1.0	0.99649122807	0.115789473684	0	0	0	0	0	0
chr1	150547031	150552066	1064	MCL1	.	Whole-Gene	protein_coding	110	253.631578947	94.7610056717	0.414473684211	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0
chr1	155867598	155881195	711	RIT1	.	Whole-Gene	protein_coding	43	91.4135021097	28.3857403232	0.627285513361	1.0	1.0	1.0	1.0	0.949367088608	0.323488045007	0	0	0	0	0
chr1	161141099	161147287	1182	B4GALT3	.	Whole-Gene	protein_coding	60	153.196277496	33.4877110023	0.812182741117	1.0	1.0	1.0	1.0	1.0	0.909475465313	0	0	0	0	0
chr1	201977072	201986316	1116	ELF3	+	Whole-Gene	protein_coding	55	133.063620072	36.2457324515	0.640681003584	1.0	1.0	1.0	1.0	1.0	0.811827956989	0	0	0	0	0
chr1	204485510	204542871	1625	MDM4	+	Whole-Gene	protein_coding	1	49.2295384615	23.6779195792	0.510153846154	0.948307692308	0.894153846154	0.894153846154	0.888615384615	0.581538461538	0	0	0	0	0	0
chr1	243651534	244014381	1484	AKT3	.	Whole-Gene	protein_coding	17	40.6677897574	14.0698876606	0.623989218329	1.0	1.0	1.0	0.92115902965	0.297169811321	0	0	0	0	0	0
chr1	243419319	243663394	2386	SDCCAG8	+	Whole-Gene	protein_coding	24	56.8491198659	28.3463171838	0.370494551551	0.993713327745	0.937971500419	0.927074601844	0.8692372171	0.640402347024	0.0737636211232	0	0	0	0	0
chr10	8095566	8117161	1335	GATA3	+	Whole-Gene	protein_coding	68	123.454681648	29.2204807138	0.650187265918	1.0	1.0	1.0	1.0	1.0	0.791760299625	0	0	0	0	0
chr10	30722865	30750762	1467	MAP3K8	+	Whole-Gene	protein_coding	21	89.6039536469	33.9496690009	0.52488070893	1.0	1.0	1.0	0.98773006135	0.891615541922	0.406271301977	0	0	0	0	0
chr10	43572474	43625799	3377	RET	+	Whole-Gene	protein_coding	27	115.971868522	39.5698156077	0.571809298194	1.0	1.0	1.0	1.0	0.969499555819	0.679005034054	0	0	0	0	0
chr10	63661058	63856703	3571	ARID5B	+	Whole-Gene	protein_coding	31	122.233267992	37.1957241521	0.504900588071	1.0	1.0	1.0	1.0	0.969196303556	0.70344441333	0	0	0	0	0
chr10	89622869	89731687	1212	PTEN	+	Whole-Gene	protein_coding	13	39.2128712871	15.3774587293	0.611386138614	1.0	1.0	1.0	0.846534653465	0.259075907591	0	0	0	0	0	0
chr10	112327448	112364394	3654	SMC3	+	Whole-Gene	protein_coding	15	49.95621237	16.6739374403	0.4978106185	1.0	1.0	1.0	0.949644225506	0.55938697318	0.00410509031199	0	0	0	0	0
chr10	112679300	112773425	1749	SHOC2	+	Whole-Gene	protein_coding	15	69.9319611206	34.1649456681	0.448256146369	1.0	1.0	1.0	0.978845054317	0.637507146941	0.170383076043	0	0	0	0	0
chr10	123237847	123357972	2854	FGFR2	.	Whole-Gene	protein_coding	24	87.9569025929	32.3325923928	0.508759635599	0.977575332866	0.977575332866	0.977575332866	0.974071478626	0.906797477225	0.35248773651	0	0	0	0	0
chr11	532241	537287	633	HRAS	.	Whole-Gene	protein_coding	47	80.8151658768	20.5950941491	0.834123222749	1.0	1.0	1.0	1.0	0.996840442338	0.230647709321	0	0	0	0	0
chr11	32409320	32457176	1564	WT1	.	Whole-Gene	protein_coding	35	118.204603581	55.2870244119	0.583120204604	1.0	1.0	1.0	1.0	0.943734015345	0.555626598465	0	0	0	0	0
chr11	45907201	45928016	2207	MAPK8IP1	+	Whole-Gene	protein_coding	20	92.9456275487	43.580242046	0.318531943815	1.0	1.0	1.0	0.993203443589	0.839601268691	0.390122338015	0	0	0	0	0
chr11	65265480	65265876	396	AP000769.7	.	Whole-Gene	lincRNA	0	0.39898989899	0.489690677361	0	0.39898989899	0	0	0	0	0	0	0	0	0	0
chr11	65265232	65273940	5605	MALAT1	+	Whole-Gene	lincRNA	9	60.2649420161	55.9837359476	0.159143621766	0.807136485281	0.771097234612	0.769313113292	0.702765388046	0.484210526316	0.217305976806	0	0	0	0	0
chr11	69455854	69469242	745	CCND1	+	Whole-Gene	protein_coding	72	131.441610738	31.9130889826	0.879194630872	1.0	1.0	1.0	1.0	1.0	0.872483221477	0	0	0	0	0
